time,value,top,bot,time_step,L_value,next_value
0.0,0.0,0.0,0.0,5e-07,9e-2,0.0
5e-07,0.0,0.0,0.0,5e-07,9e-2,0.0
1e-06,0.0,0.0,0.0,5e-07,9e-2,0.0
1.5e-06,0.0,1.0,0.0,5e-07,9e-2,0.0
2e-06,0.0,1.0,0.0,5e-07,9e-2,0.00011041636
2.5e-06,0.00011041636,1.0,0.0,5e-07,9e-2,0.00016597114
3e-06,0.00016597114,1.0,0.0,5e-07,9e-2,0.00022152562
3.5e-06,0.00022152562,1.0,0.0,5e-07,9e-2,0.0002770798
4e-06,0.0002770798,1.0,0.0,5e-07,9e-2,0.00033263367
4.5e-06,0.00033263367,1.0,0.0,5e-07,9e-2,0.0003881872
5e-06,0.0003881872,1.0,0.0,5e-07,9e-2,0.00044374046
5.5e-06,0.00044374046,1.0,0.0,5e-07,9e-2,0.0004992934
6e-06,0.0004992934,1.0,0.0,5e-07,9e-2,0.000554846
6.5e-06,0.000554846,1.0,0.0,5e-07,9e-2,0.00061039836
7e-06,0.00061039836,1.0,0.0,5e-07,9e-2,0.00066595036
7.5e-06,0.00066595036,1.0,0.0,5e-07,9e-2,0.00072150206
8e-06,0.00072150206,1.0,0.0,5e-07,9e-2,0.0007770535
8.5e-06,0.0007770535,1.0,0.0,5e-07,9e-2,0.00083260454
9e-06,0.00083260454,1.0,0.0,5e-07,9e-2,0.0008881553
9.5e-06,0.0008881553,1.0,0.0,5e-07,9e-2,0.0009437058
1e-05,0.0009437058,1.0,0.0,5e-07,9e-2,0.0009992559
1.05e-05,0.0009992559,1.0,0.0,5e-07,9e-2,0.0010548058
1.1e-05,0.0010548058,1.0,0.0,5e-07,9e-2,0.0011103554
1.15e-05,0.0011103554,1.0,0.0,5e-07,9e-2,0.0011659046
1.2e-05,0.0011659046,1.0,0.0,5e-07,9e-2,0.0012214534
1.25e-05,0.0012214534,1.0,0.0,5e-07,9e-2,0.001277002
1.3e-05,0.001277002,1.0,0.0,5e-07,9e-2,0.0013325504
1.35e-05,0.0013325504,1.0,0.0,5e-07,9e-2,0.0013880983
1.4e-05,0.0013880983,1.0,0.0,5e-07,9e-2,0.001443646
1.45e-05,0.001443646,1.0,0.0,5e-07,9e-2,0.0014991935
1.5e-05,0.0014991935,1.0,0.0,5e-07,9e-2,0.0015547406
1.55e-05,0.0015547406,1.0,0.0,5e-07,9e-2,0.0016102873
1.6e-05,0.0016102873,1.0,0.0,5e-07,9e-2,0.0016658338
1.65e-05,0.0016658338,1.0,0.0,5e-07,9e-2,0.0017213799
1.7e-05,0.0017213799,1.0,0.0,5e-07,9e-2,0.0017769258
1.75e-05,0.0017769258,1.0,0.0,5e-07,9e-2,0.0018324712
1.8e-05,0.0018324712,1.0,0.0,5e-07,9e-2,0.0018880165
1.85e-05,0.0018880165,1.0,0.0,5e-07,9e-2,0.0019435614
1.9e-05,0.0019435614,1.0,0.0,5e-07,9e-2,0.001999106
1.95e-05,0.001999106,1.0,0.0,5e-07,9e-2,0.0020546503
2e-05,0.0020546503,1.0,0.0,5e-07,9e-2,0.0021101942
2.05e-05,0.0021101942,1.0,0.0,5e-07,9e-2,0.002165738
2.1e-05,0.002165738,1.0,0.0,5e-07,9e-2,0.0022212814
2.15e-05,0.0022212814,1.0,0.0,5e-07,9e-2,0.0022768243
2.2e-05,0.0022768243,1.0,0.0,5e-07,9e-2,0.0023323672
2.25e-05,0.0023323672,1.0,0.0,5e-07,9e-2,0.0023879097
2.3e-05,0.0023879097,1.0,0.0,5e-07,9e-2,0.0024434517
2.35e-05,0.0024434517,1.0,0.0,5e-07,9e-2,0.0024989937
2.4e-05,0.0024989937,1.0,0.0,5e-07,9e-2,0.0025545352
2.45e-05,0.0025545352,1.0,0.0,5e-07,9e-2,0.0026100762
2.5e-05,0.0026100762,1.0,0.0,5e-07,9e-2,0.0026656173
2.55e-05,0.0026656173,0.0,0.0,5e-07,9e-2,0.0026663113
2.6e-05,0.0026663113,0.0,0.0,5e-07,9e-2,0.0025558656
2.65e-05,0.0025558656,0.0,1.0,5e-07,9e-2,0.002500296
2.7e-05,0.002500296,0.0,1.0,5e-07,9e-2,0.0024447266
2.75e-05,0.0024447266,0.0,1.0,5e-07,9e-2,0.0023891577
2.8e-05,0.0023891577,0.0,1.0,5e-07,9e-2,0.0023335891
2.85e-05,0.0023335891,0.0,1.0,5e-07,9e-2,0.0022780208
2.9e-05,0.0022780208,0.0,1.0,5e-07,9e-2,0.0022224528
2.95e-05,0.0022224528,0.0,1.0,5e-07,9e-2,0.002166885
3e-05,0.002166885,0.0,1.0,5e-07,9e-2,0.0021113176
3.05e-05,0.0021113176,0.0,1.0,5e-07,9e-2,0.0020557505
3.1e-05,0.0020557505,0.0,1.0,5e-07,9e-2,0.0020001836
3.15e-05,0.0020001836,0.0,1.0,5e-07,9e-2,0.001944617
3.2e-05,0.001944617,0.0,1.0,5e-07,9e-2,0.0018890508
3.25e-05,0.0018890508,0.0,1.0,5e-07,9e-2,0.001833485
3.3e-05,0.001833485,0.0,1.0,5e-07,9e-2,0.0017779194
3.35e-05,0.0017779194,0.0,1.0,5e-07,9e-2,0.0017223541
3.4e-05,0.0017223541,0.0,1.0,5e-07,9e-2,0.0016667891
3.45e-05,0.0016667891,0.0,1.0,5e-07,9e-2,0.0016112244
3.5e-05,0.0016112244,0.0,1.0,5e-07,9e-2,0.00155566
3.55e-05,0.00155566,0.0,1.0,5e-07,9e-2,0.001500096
3.6e-05,0.001500096,0.0,1.0,5e-07,9e-2,0.0014445323
3.65e-05,0.0014445323,0.0,1.0,5e-07,9e-2,0.0013889689
3.7e-05,0.0013889689,0.0,1.0,5e-07,9e-2,0.0013334057
3.75e-05,0.0013334057,0.0,1.0,5e-07,9e-2,0.0012778429
3.8e-05,0.0012778429,0.0,1.0,5e-07,9e-2,0.0012222804
3.85e-05,0.0012222804,0.0,1.0,5e-07,9e-2,0.0011667182
3.9e-05,0.0011667182,0.0,1.0,5e-07,9e-2,0.0011111563
3.95e-05,0.0011111563,0.0,1.0,5e-07,9e-2,0.0010555948
4e-05,0.0010555948,0.0,1.0,5e-07,9e-2,0.0010000336
4.05e-05,0.0010000336,0.0,1.0,5e-07,9e-2,0.00094447256
4.1e-05,0.00094447256,0.0,1.0,5e-07,9e-2,0.0008889119
4.15e-05,0.0008889119,0.0,1.0,5e-07,9e-2,0.0008333516
4.2e-05,0.0008333516,0.0,1.0,5e-07,9e-2,0.00077779155
4.25e-05,0.00077779155,0.0,1.0,5e-07,9e-2,0.0007222318
4.3e-05,0.0007222318,0.0,1.0,5e-07,9e-2,0.0006666724
4.35e-05,0.0006666724,0.0,1.0,5e-07,9e-2,0.0006111133
4.4e-05,0.0006111133,0.0,1.0,5e-07,9e-2,0.0005555545
4.45e-05,0.0005555545,0.0,1.0,5e-07,9e-2,0.000499996
4.5e-05,0.000499996,0.0,1.0,5e-07,9e-2,0.00044443784
4.55e-05,0.00044443784,0.0,1.0,5e-07,9e-2,0.00038887997
4.6e-05,0.00038887997,0.0,1.0,5e-07,9e-2,0.00033332242
4.65e-05,0.00033332242,0.0,1.0,5e-07,9e-2,0.00027776515
4.7e-05,0.00027776515,0.0,1.0,5e-07,9e-2,0.00022220821
4.75e-05,0.00022220821,0.0,1.0,5e-07,9e-2,0.00016665157
4.8e-05,0.00016665157,0.0,1.0,5e-07,9e-2,0.00011109525
4.85e-05,0.00011109525,0.0,1.0,5e-07,9e-2,5.553923e-05
4.9e-05,5.553923e-05,0.0,1.0,5e-07,9e-2,-1.6479158e-08
4.95e-05,-1.6479158e-08,0.0,1.0,5e-07,9e-2,-5.557188e-05
5e-05,-5.557188e-05,0.0,1.0,5e-07,9e-2,-0.000111126974
5.05e-05,-0.000111126974,0.0,1.0,5e-07,9e-2,-0.00016668176
5.1e-05,-0.00016668176,0.0,1.0,5e-07,9e-2,-0.00022223624
5.15e-05,-0.00022223624,0.0,1.0,5e-07,9e-2,-0.0002777904
5.2e-05,-0.0002777904,0.0,1.0,5e-07,9e-2,-0.00033334424
5.25e-05,-0.00033334424,0.0,1.0,5e-07,9e-2,-0.0003888978
5.3e-05,-0.0003888978,0.0,1.0,5e-07,9e-2,-0.00044445106
5.35e-05,-0.00044445106,0.0,1.0,5e-07,9e-2,-0.000500004
5.4e-05,-0.000500004,0.0,1.0,5e-07,9e-2,-0.0005555566
5.45e-05,-0.0005555566,0.0,1.0,5e-07,9e-2,-0.0006111089
5.5e-05,-0.0006111089,0.0,1.0,5e-07,9e-2,-0.0006666609
5.55e-05,-0.0006666609,0.0,1.0,5e-07,9e-2,-0.0007222126
5.6e-05,-0.0007222126,0.0,1.0,5e-07,9e-2,-0.000777764
5.65e-05,-0.000777764,0.0,1.0,5e-07,9e-2,-0.0008333151
5.7e-05,-0.0008333151,0.0,1.0,5e-07,9e-2,-0.00088886585
5.75e-05,-0.00088886585,0.0,1.0,5e-07,9e-2,-0.00094441633
5.8e-05,-0.00094441633,0.0,1.0,5e-07,9e-2,-0.0009999665
5.85e-05,-0.0009999665,0.0,1.0,5e-07,9e-2,-0.0010555163
5.9e-05,-0.0010555163,0.0,1.0,5e-07,9e-2,-0.0011110659
5.95e-05,-0.0011110659,0.0,1.0,5e-07,9e-2,-0.001166615
6e-05,-0.001166615,0.0,1.0,5e-07,9e-2,-0.001222164
6.05e-05,-0.001222164,0.0,1.0,5e-07,9e-2,-0.0012777126
6.1e-05,-0.0012777126,0.0,1.0,5e-07,9e-2,-0.0013332609
6.15e-05,-0.0013332609,0.0,1.0,5e-07,9e-2,-0.001388809
6.2e-05,-0.001388809,0.0,1.0,5e-07,9e-2,-0.0014443566
6.25e-05,-0.0014443566,0.0,1.0,5e-07,9e-2,-0.001499904
6.3e-05,-0.001499904,0.0,1.0,5e-07,9e-2,-0.0015554511
6.35e-05,-0.0015554511,0.0,1.0,5e-07,9e-2,-0.0016109978
6.4e-05,-0.0016109978,0.0,1.0,5e-07,9e-2,-0.0016665442
6.45e-05,-0.0016665442,0.0,1.0,5e-07,9e-2,-0.0017220904
6.5e-05,-0.0017220904,0.0,1.0,5e-07,9e-2,-0.0017776362
6.55e-05,-0.0017776362,0.0,1.0,5e-07,9e-2,-0.0018331817
6.6e-05,-0.0018331817,0.0,1.0,5e-07,9e-2,-0.001888727
6.65e-05,-0.001888727,0.0,1.0,5e-07,9e-2,-0.0019442718
6.7e-05,-0.0019442718,0.0,1.0,5e-07,9e-2,-0.0019998164
6.75e-05,-0.0019998164,0.0,1.0,5e-07,9e-2,-0.0020553607
6.8e-05,-0.0020553607,0.0,1.0,5e-07,9e-2,-0.0021109048
6.85e-05,-0.0021109048,0.0,1.0,5e-07,9e-2,-0.0021664484
6.9e-05,-0.0021664484,0.0,1.0,5e-07,9e-2,-0.0022219918
6.95e-05,-0.0022219918,0.0,1.0,5e-07,9e-2,-0.002277535
7e-05,-0.002277535,0.0,1.0,5e-07,9e-2,-0.0023330776
7.05e-05,-0.0023330776,0.0,1.0,5e-07,9e-2,-0.00238862
7.1e-05,-0.00238862,0.0,1.0,5e-07,9e-2,-0.0024441623
7.15e-05,-0.0024441623,0.0,1.0,5e-07,9e-2,-0.002499704
7.2e-05,-0.002499704,0.0,1.0,5e-07,9e-2,-0.0025552455
7.25e-05,-0.0025552455,0.0,1.0,5e-07,9e-2,-0.0026107868
7.3e-05,-0.0026107868,0.0,1.0,5e-07,9e-2,-0.0026663276
7.35e-05,-0.0026663276,0.0,1.0,5e-07,9e-2,-0.0027218682
7.4e-05,-0.0027218682,0.0,1.0,5e-07,9e-2,-0.0027774086
7.45e-05,-0.0027774086,0.0,1.0,5e-07,9e-2,-0.0028329485
7.5e-05,-0.0028329485,0.0,1.0,5e-07,9e-2,-0.0028884881
7.55e-05,-0.0028884881,0.0,0.0,5e-07,9e-2,-0.0028891824
7.6e-05,-0.0028891824,0.0,0.0,5e-07,9e-2,-0.002778734
7.65e-05,-0.002778734,1.0,0.0,5e-07,9e-2,-0.0027231632
7.7e-05,-0.0027231632,1.0,0.0,5e-07,9e-2,-0.0026675928
7.75e-05,-0.0026675928,1.0,0.0,5e-07,9e-2,-0.0026120225
7.8e-05,-0.0026120225,1.0,0.0,5e-07,9e-2,-0.0025564525
7.85e-05,-0.0025564525,1.0,0.0,5e-07,9e-2,-0.002500883
7.9e-05,-0.002500883,1.0,0.0,5e-07,9e-2,-0.0024453136
7.95e-05,-0.0024453136,1.0,0.0,5e-07,9e-2,-0.0023897446
8e-05,-0.0023897446,1.0,0.0,5e-07,9e-2,-0.002334176
8.05e-05,-0.002334176,1.0,0.0,5e-07,9e-2,-0.0022786076
8.1e-05,-0.0022786076,1.0,0.0,5e-07,9e-2,-0.0022230395
8.15e-05,-0.0022230395,1.0,0.0,5e-07,9e-2,-0.002167472
8.2e-05,-0.002167472,1.0,0.0,5e-07,9e-2,-0.0021119043
8.25e-05,-0.0021119043,1.0,0.0,5e-07,9e-2,-0.0020563372
8.3e-05,-0.0020563372,1.0,0.0,5e-07,9e-2,-0.0020007705
8.35e-05,-0.0020007705,1.0,0.0,5e-07,9e-2,-0.001945204
8.4e-05,-0.001945204,1.0,0.0,5e-07,9e-2,-0.0018896377
8.45e-05,-0.0018896377,1.0,0.0,5e-07,9e-2,-0.0018340718
8.5e-05,-0.0018340718,1.0,0.0,5e-07,9e-2,-0.0017785062
8.55e-05,-0.0017785062,1.0,0.0,5e-07,9e-2,-0.001722941
8.6e-05,-0.001722941,1.0,0.0,5e-07,9e-2,-0.001667376
8.65e-05,-0.001667376,1.0,0.0,5e-07,9e-2,-0.0016118113
8.7e-05,-0.0016118113,1.0,0.0,5e-07,9e-2,-0.001556247
8.75e-05,-0.001556247,1.0,0.0,5e-07,9e-2,-0.0015006829
8.8e-05,-0.0015006829,1.0,0.0,5e-07,9e-2,-0.0014451192
