time,value,top,bot,time_step,L_value,next_value
0.0,0.0,0.0,0.0,5e-07,1e-4,0.0
5e-07,0.0,0.0,0.0,5e-07,1e-4,0.0
1e-06,0.0,0.0,0.0,5e-07,1e-4,0.0
1.5e-06,0.0,1.0,0.0,5e-07,1e-4,0.0
2e-06,0.0,1.0,0.0,5e-07,1e-4,0.09912698
2.5e-06,0.09912698,1.0,0.0,5e-07,1e-4,0.14850779
3e-06,0.14850779,1.0,0.0,5e-07,1e-4,0.19764231
3.5e-06,0.19764231,1.0,0.0,5e-07,1e-4,0.24653177
4e-06,0.24653177,1.0,0.0,5e-07,1e-4,0.2951774
4.5e-06,0.2951774,1.0,0.0,5e-07,1e-4,0.3435804
5e-06,0.3435804,1.0,0.0,5e-07,1e-4,0.391742
5.5e-06,0.391742,1.0,0.0,5e-07,1e-4,0.43966338
6e-06,0.43966338,1.0,0.0,5e-07,1e-4,0.48734576
6.5e-06,0.48734576,1.0,0.0,5e-07,1e-4,0.53479034
7e-06,0.53479034,1.0,0.0,5e-07,1e-4,0.5819982
7.5e-06,0.5819982,1.0,0.0,5e-07,1e-4,0.62897074
8e-06,0.62897074,1.0,0.0,5e-07,1e-4,0.67570895
8.5e-06,0.67570895,1.0,0.0,5e-07,1e-4,0.72221404
9e-06,0.72221404,1.0,0.0,5e-07,1e-4,0.76848716
9.5e-06,0.76848716,1.0,0.0,5e-07,1e-4,0.81452954
1e-05,0.81452954,1.0,0.0,5e-07,1e-4,0.86034226
1.05e-05,0.86034226,1.0,0.0,5e-07,1e-4,0.9059265
1.1e-05,0.9059265,1.0,0.0,5e-07,1e-4,0.9512834
1.15e-05,0.9512834,1.0,0.0,5e-07,1e-4,0.99641407
1.2e-05,0.99641407,1.0,0.0,5e-07,1e-4,1.0413196
1.25e-05,1.0413196,1.0,0.0,5e-07,1e-4,1.0860013
1.3e-05,1.0860013,1.0,0.0,5e-07,1e-4,1.13046
1.35e-05,1.13046,1.0,0.0,5e-07,1e-4,1.174697
1.4e-05,1.174697,1.0,0.0,5e-07,1e-4,1.2187134
1.45e-05,1.2187134,1.0,0.0,5e-07,1e-4,1.2625102
1.5e-05,1.2625102,1.0,0.0,5e-07,1e-4,1.3060887
1.55e-05,1.3060887,1.0,0.0,5e-07,1e-4,1.3494498
1.6e-05,1.3494498,1.0,0.0,5e-07,1e-4,1.3925945
1.65e-05,1.3925945,1.0,0.0,5e-07,1e-4,1.4355241
1.7e-05,1.4355241,1.0,0.0,5e-07,1e-4,1.4782397
