Time,Iout,IGBT Leg1.PWM_Modulator.TOP_1,IGBT Leg1.PWM_Modulator.BOT_1
0.0,0.0,0.0,0.0
5e-07,0.0,0.0,0.0
1e-06,0.0,0.0,0.0
1.5e-06,0.0,1.0,0.0
2e-06,0.0,1.0,0.0
2.5e-06,0.9693152,1.0,0.0
3e-06,1.4097469,1.0,0.0
3.5e-06,1.8286985,1.0,0.0
4e-06,2.2272174,1.0,0.0
4.5e-06,2.6063006,1.0,0.0
5e-06,2.9668956,1.0,0.0
5.5e-06,3.309904,1.0,0.0
6e-06,3.636184,1.0,0.0
6.5e-06,3.9465508,1.0,0.0
7e-06,4.241781,1.0,0.0
7.5e-06,4.5226126,1.0,0.0
8e-06,4.789748,1.0,0.0
8.5e-06,5.043855,1.0,0.0
9e-06,5.285569,1.0,0.0
9.5e-06,5.515495,1.0,0.0
1e-05,5.7342067,1.0,0.0
1.05e-05,5.9422517,1.0,0.0
1.1e-05,6.1401505,1.0,0.0
1.15e-05,6.3283978,1.0,0.0
1.2e-05,6.507464,1.0,0.0
1.25e-05,6.677797,1.0,0.0
1.3e-05,6.8398223,1.0,0.0
1.35e-05,6.993946,1.0,0.0
1.4e-05,7.140553,1.0,0.0
1.45e-05,7.28001,1.0,0.0
1.5e-05,7.4126654,1.0,0.0
1.55e-05,7.5388513,1.0,0.0
1.6e-05,7.658883,1.0,0.0
1.65e-05,7.7730603,1.0,0.0
1.7e-05,7.8816695,1.0,0.0
1.75e-05,7.984982,1.0,0.0
1.8e-05,8.083256,1.0,0.0
1.85e-05,8.176736,1.0,0.0
1.9e-05,8.265657,1.0,0.0
1.95e-05,8.350243,1.0,0.0
2e-05,8.430702,1.0,0.0
2.05e-05,8.507237,1.0,0.0
2.1e-05,8.580041,1.0,0.0
2.15e-05,8.649293,1.0,0.0
2.2e-05,8.715168,1.0,0.0
2.25e-05,8.77783,1.0,0.0
2.3e-05,8.837436,1.0,0.0
2.35e-05,8.8941345,1.0,0.0
2.4e-05,8.948069,1.0,0.0
2.45e-05,8.999372,1.0,0.0
2.5e-05,9.048173,1.0,0.0
2.55e-05,9.094594,0.0,0.0
2.6e-05,9.095146,0.0,0.0
2.65e-05,7.2442245,0.0,1.0
2.7e-05,6.4032135,0.0,1.0
2.75e-05,5.6032195,0.0,1.0
2.8e-05,4.8422413,0.0,1.0
2.85e-05,4.1183767,0.0,1.0
2.9e-05,3.4298155,0.0,1.0
2.95e-05,2.7748356,0.0,1.0
3e-05,2.1517997,0.0,1.0
3.05e-05,1.5591493,0.0,1.0
3.1e-05,0.99540293,0.0,1.0
3.15e-05,0.45915082,0.0,1.0
3.2e-05,-0.05094798,0.0,1.0
3.25e-05,-0.536169,0.0,1.0
3.3e-05,-0.9977254,0.0,1.0
3.35e-05,-1.4367715,0.0,1.0
3.4e-05,-1.8544052,0.0,1.0
3.45e-05,-2.2516706,0.0,1.0
3.5e-05,-2.629561,0.0,1.0
3.55e-05,-2.9890215,0.0,1.0
3.6e-05,-3.330951,0.0,1.0
3.65e-05,-3.6562045,0.0,1.0
3.7e-05,-3.965595,0.0,1.0
3.75e-05,-4.2598963,0.0,1.0
3.8e-05,-4.5398445,0.0,1.0
3.85e-05,-4.8061395,0.0,1.0
3.9e-05,-5.059447,0.0,1.0
3.95e-05,-5.3004007,0.0,1.0
4e-05,-5.5296025,0.0,1.0
4.05e-05,-5.747627,0.0,1.0
4.1e-05,-5.955017,0.0,1.0
4.15e-05,-6.152293,0.0,1.0
4.2e-05,-6.339948,0.0,1.0
4.25e-05,-6.518451,0.0,1.0
4.3e-05,-6.688248,0.0,1.0
4.35e-05,-6.8497643,0.0,1.0
4.4e-05,-7.003403,0.0,1.0
4.45e-05,-7.149549,0.0,1.0
4.5e-05,-7.288567,0.0,1.0
4.55e-05,-7.420805,0.0,1.0
4.6e-05,-7.546594,0.0,1.0
4.65e-05,-7.666248,0.0,1.0
4.7e-05,-7.7800665,0.0,1.0
4.75e-05,-7.888334,0.0,1.0
4.8e-05,-7.991321,0.0,1.0
4.85e-05,-8.089286,0.0,1.0
4.9e-05,-8.182472,0.0,1.0
4.95e-05,-8.271114,0.0,1.0
5e-05,-8.3554325,0.0,1.0
5.05e-05,-8.435639,0.0,1.0
5.1e-05,-8.511934,0.0,1.0
5.15e-05,-8.584508,0.0,1.0
5.2e-05,-8.6535425,0.0,1.0
5.25e-05,-8.71921,0.0,1.0
5.3e-05,-8.781674,0.0,1.0
5.35e-05,-8.841093,0.0,1.0
5.4e-05,-8.897614,0.0,1.0
5.45e-05,-8.951378,0.0,1.0
5.5e-05,-9.00252,0.0,1.0
5.55e-05,-9.0511675,0.0,1.0
5.6e-05,-9.097443,0.0,1.0
5.65e-05,-9.14146,0.0,1.0
5.7e-05,-9.183332,0.0,1.0
5.75e-05,-9.223162,0.0,1.0
5.8e-05,-9.261048,0.0,1.0
5.85e-05,-9.297088,0.0,1.0
5.9e-05,-9.331368,0.0,1.0
5.95e-05,-9.363978,0.0,1.0
6e-05,-9.394998,0.0,1.0
6.05e-05,-9.424504,0.0,1.0
6.1e-05,-9.452571,0.0,1.0
6.15e-05,-9.47927,0.0,1.0
6.2e-05,-9.504666,0.0,1.0
6.25e-05,-9.528824,0.0,1.0
6.3e-05,-9.551804,0.0,1.0
6.35e-05,-9.573662,0.0,1.0
6.4e-05,-9.594455,0.0,1.0
6.45e-05,-9.614233,0.0,1.0
6.5e-05,-9.633047,0.0,1.0
6.55e-05,-9.650944,0.0,1.0
6.6e-05,-9.667968,0.0,1.0
6.65e-05,-9.684161,0.0,1.0
6.7e-05,-9.699565,0.0,1.0
6.75e-05,-9.714217,0.0,1.0
6.8e-05,-9.728155,0.0,1.0
6.85e-05,-9.741413,0.0,1.0
6.9e-05,-9.7540245,0.0,1.0
6.95e-05,-9.766021,0.0,1.0
7e-05,-9.777432,0.0,1.0
7.05e-05,-9.788287,0.0,1.0
7.1e-05,-9.798613,0.0,1.0
7.15e-05,-9.808434,0.0,1.0
7.2e-05,-9.817777,0.0,1.0
7.25e-05,-9.826664,0.0,1.0
7.3e-05,-9.835117,0.0,1.0
7.35e-05,-9.843159,0.0,1.0
7.4e-05,-9.850808,0.0,1.0
7.45e-05,-9.858085,0.0,1.0
7.5e-05,-9.8650055,0.0,1.0
7.55e-05,-9.87159,0.0,0.0
7.6e-05,-9.871668,0.0,0.0
7.65e-05,-7.945477,1.0,0.0
7.7e-05,-7.070266,1.0,0.0
7.75e-05,-6.237739,1.0,0.0
7.8e-05,-5.445815,1.0,0.0
7.85e-05,-4.692514,1.0,0.0
7.9e-05,-3.9759514,1.0,0.0
7.95e-05,-3.294336,1.0,0.0
8e-05,-2.6459637,1.0,0.0
8.05e-05,-2.029213,1.0,0.0
8.1e-05,-1.4425412,1.0,0.0
8.15e-05,-0.8844819,1.0,0.0
8.2e-05,-0.35363945,1.0,0.0
8.25e-05,0.15131351,1.0,0.0
8.3e-05,0.6316396,1.0,0.0
8.35e-05,1.08854,1.0,0.0
8.4e-05,1.523157,1.0,0.0
8.45e-05,1.9365774,1.0,0.0
8.5e-05,2.3298352,1.0,0.0
8.55e-05,2.7039137,1.0,0.0
8.6e-05,3.059748,1.0,0.0
8.65e-05,3.398228,1.0,0.0
8.7e-05,3.7202003,1.0,0.0
8.75e-05,4.0264697,1.0,0.0
8.8e-05,4.3178024,1.0,0.0
8.85e-05,4.5949264,1.0,0.0
8.9e-05,4.858535,1.0,0.0
8.95e-05,5.1092873,1.0,0.0
9e-05,5.34781,1.0,0.0
9.05e-05,5.5747,1.0,0.0
9.1e-05,5.7905245,1.0,0.0
9.15e-05,5.995823,1.0,0.0
9.2e-05,6.1911087,1.0,0.0
9.25e-05,6.3768706,1.0,0.0
9.3e-05,6.5535727,1.0,0.0
9.35e-05,6.7216573,1.0,0.0
9.4e-05,6.8815436,1.0,0.0
9.45e-05,7.0336328,1.0,0.0
9.5e-05,7.178304,1.0,0.0
9.55e-05,7.31592,1.0,0.0
9.6e-05,7.446824,1.0,0.0
9.65e-05,7.571344,1.0,0.0
9.7e-05,7.6897907,1.0,0.0
9.75e-05,7.802461,1.0,0.0
9.8e-05,7.909636,1.0,0.0
9.85e-05,8.011584,1.0,0.0
9.9e-05,8.108561,1.0,0.0
9.95e-05,8.200808,1.0,0.0
1e-04,8.288555,1.0,0.0
0.0001005,8.372023,1.0,0.0
0.000101,8.451421,1.0,0.0
0.0001015,8.526945,1.0,0.0
0.000102,8.598787,1.0,0.0
0.0001025,8.667125,1.0,0.0
0.000103,8.73213,1.0,0.0
0.0001035,8.793965,1.0,0.0
0.000104,8.852784,1.0,0.0
0.0001045,8.908734,1.0,0.0
0.000105,8.961956,1.0,0.0
0.0001055,9.012582,1.0,0.0
0.000106,9.060739,1.0,0.0
0.0001065,9.106547,1.0,0.0
0.000107,9.150122,1.0,0.0
0.0001075,9.19157,1.0,0.0
0.000108,9.230998,1.0,0.0
0.0001085,9.268503,1.0,0.0
0.000109,9.304178,1.0,0.0
0.0001095,9.338114,1.0,0.0
0.00011,9.370395,1.0,0.0
0.0001105,9.401101,1.0,0.0
0.000111,9.430309,1.0,0.0
0.0001115,9.458094,1.0,0.0
0.000112,9.484523,1.0,0.0
0.0001125,9.509663,1.0,0.0
0.000113,9.533577,1.0,0.0
0.0001135,9.556325,1.0,0.0
0.000114,9.577963,1.0,0.0
0.0001145,9.598546,1.0,0.0
0.000115,9.618125,1.0,0.0
0.0001155,9.636749,1.0,0.0
0.000116,9.654465,1.0,0.0
0.0001165,9.671317,1.0,0.0
0.000117,9.687347,1.0,0.0
0.0001175,9.702596,1.0,0.0
0.000118,9.7171,1.0,0.0
0.0001185,9.730897,1.0,0.0
0.000119,9.744021,1.0,0.0
0.0001195,9.756506,1.0,0.0
0.00012,9.768381,1.0,0.0
0.0001205,9.779677,1.0,0.0
0.000121,9.790422,1.0,0.0
0.0001215,9.800644,1.0,0.0
0.000122,9.810367,1.0,0.0
0.0001225,9.819615,1.0,0.0
0.000123,9.828412,1.0,0.0
0.0001235,9.836781,1.0,0.0
0.000124,9.844741,1.0,0.0
0.0001245,9.852313,1.0,0.0
0.000125,9.859516,1.0,0.0
0.0001255,9.866367,0.0,0.0
0.000126,9.866449,0.0,0.0
0.0001265,7.940764,0.0,1.0
0.000127,7.0657825,0.0,1.0
0.0001275,6.2334743,0.0,1.0
0.000128,5.4417586,0.0,1.0
0.0001285,4.6886554,0.0,1.0
0.000129,3.972281,0.0,1.0
0.0001295,3.2908447,0.0,1.0
0.00013,2.6426427,0.0,1.0
0.0001305,2.0260537,0.0,1.0
0.000131,1.4395361,0.0,1.0
0.0001315,0.8816234,0.0,1.0
0.000132,0.35092032,0.0,1.0
0.0001325,-0.15390001,0.0,1.0
0.000133,-0.63409996,0.0,1.0
0.0001335,-1.0908803,0.0,1.0
0.000134,-1.5253832,0.0,1.0
0.0001345,-1.9386952,0.0,1.0
0.000135,-2.3318496,0.0,1.0
0.0001355,-2.7058296,0.0,1.0
0.000136,-3.0615706,0.0,1.0
0.0001365,-3.3999617,0.0,1.0
0.000137,-3.7218494,0.0,1.0
