time,value,top,bot,time_step,L_value,next_value
0.0,-1.5296689,0.0,1.0,5e-07,6e-5,-1.5999618
5e-07,-1.5999618,0.0,1.0,5e-07,6e-5,-1.6696712
1e-06,-1.6696712,0.0,1.0,5e-07,6e-5,-1.7388022
1.5e-06,-1.7388022,0.0,1.0,5e-07,6e-5,-1.8073595
2e-06,-1.8073595,0.0,1.0,5e-07,6e-5,-1.8753477
2.5e-06,-1.8753477,0.0,1.0,5e-07,6e-5,-1.9427719
3e-06,-1.9427719,0.0,1.0,5e-07,6e-5,-2.0096364
3.5e-06,-2.0096364,0.0,1.0,5e-07,6e-5,-2.075946
4e-06,-2.075946,0.0,1.0,5e-07,6e-5,-2.1417055
4.5e-06,-2.1417055,0.0,1.0,5e-07,6e-5,-2.2069192
5e-06,-2.2069192,0.0,1.0,5e-07,6e-5,-2.2715917
5.5e-06,-2.2715917,0.0,1.0,5e-07,6e-5,-2.3357275
6e-06,-2.3357275,0.0,1.0,5e-07,6e-5,-2.399331
6.5e-06,-2.399331,0.0,1.0,5e-07,6e-5,-2.4624069
7e-06,-2.4624069,0.0,1.0,5e-07,6e-5,-2.524959
7.5e-06,-2.524959,0.0,1.0,5e-07,6e-5,-2.5869923
8e-06,-2.5869923,0.0,1.0,5e-07,6e-5,-2.6485107
8.5e-06,-2.6485107,0.0,1.0,5e-07,6e-5,-2.7095184
9e-06,-2.7095184,0.0,1.0,5e-07,6e-5,-2.77002
9.5e-06,-2.77002,0.0,1.0,5e-07,6e-5,-2.8300195
1e-05,-2.8300195,0.0,1.0,5e-07,6e-5,-2.8895211
1.05e-05,-2.8895211,0.0,1.0,5e-07,6e-5,-2.948529
1.1e-05,-2.948529,0.0,1.0,5e-07,6e-5,-3.007047
1.15e-05,-3.007047,0.0,1.0,5e-07,6e-5,-3.0650795
1.2e-05,-3.0650795,0.0,1.0,5e-07,6e-5,-3.1226304
1.25e-05,-3.1226304,0.0,1.0,5e-07,6e-5,-3.1797037
1.3e-05,-3.1797037,0.0,1.0,5e-07,6e-5,-3.2363033
1.35e-05,-3.2363033,0.0,1.0,5e-07,6e-5,-3.2924333
1.4e-05,-3.2924333,0.0,1.0,5e-07,6e-5,-3.3480973
1.45e-05,-3.3480973,0.0,1.0,5e-07,6e-5,-3.4032996
1.5e-05,-3.4032996,0.0,1.0,5e-07,6e-5,-3.4580436
1.55e-05,-3.4580436,0.0,1.0,5e-07,6e-5,-3.5123334
1.6e-05,-3.5123334,0.0,1.0,5e-07,6e-5,-3.5661726
1.65e-05,-3.5661726,0.0,1.0,5e-07,6e-5,-3.619565
1.7e-05,-3.619565,0.0,1.0,5e-07,6e-5,-3.6725144
1.75e-05,-3.6725144,0.0,1.0,5e-07,6e-5,-3.7250245
1.8e-05,-3.7250245,0.0,1.0,5e-07,6e-5,-3.7770987
1.85e-05,-3.7770987,0.0,1.0,5e-07,6e-5,-3.8287406
1.9e-05,-3.8287406,0.0,1.0,5e-07,6e-5,-3.879954
1.95e-05,-3.879954,0.0,1.0,5e-07,6e-5,-3.9307425
2e-05,-3.9307425,0.0,1.0,5e-07,6e-5,-3.9811096
2.05e-05,-3.9811096,0.0,1.0,5e-07,6e-5,-4.031059
2.1e-05,-4.031059,0.0,1.0,5e-07,6e-5,-4.080593
2.15e-05,-4.080593,0.0,1.0,5e-07,6e-5,-4.1297164
2.2e-05,-4.1297164,0.0,0.0,5e-07,6e-5,-4.143113
2.25e-05,-4.143113,0.0,0.0,5e-07,6e-5,-3.940651
2.3e-05,-3.940651,1.0,0.0,5e-07,6e-5,-3.8249614
2.35e-05,-3.8249614,1.0,0.0,5e-07,6e-5,-3.7102323
2.4e-05,-3.7102323,1.0,0.0,5e-07,6e-5,-3.596455
2.45e-05,-3.596455,1.0,0.0,5e-07,6e-5,-3.483622
2.5e-05,-3.483622,1.0,0.0,5e-07,6e-5,-3.3717253
2.55e-05,-3.3717253,1.0,0.0,5e-07,6e-5,-3.2607572
2.6e-05,-3.2607572,1.0,0.0,5e-07,6e-5,-3.15071
2.65e-05,-3.15071,1.0,0.0,5e-07,6e-5,-3.0415764
2.7e-05,-3.0415764,1.0,0.0,5e-07,6e-5,-2.933348
2.75e-05,-2.933348,1.0,0.0,5e-07,6e-5,-2.8260179
2.8e-05,-2.8260179,1.0,0.0,5e-07,6e-5,-2.7195785
2.85e-05,-2.7195785,1.0,0.0,5e-07,6e-5,-2.6140225
2.9e-05,-2.6140225,1.0,0.0,5e-07,6e-5,-2.5093424
2.95e-05,-2.5093424,1.0,0.0,5e-07,6e-5,-2.4055312
3e-05,-2.4055312,1.0,0.0,5e-07,6e-5,-2.3025813
3.05e-05,-2.3025813,1.0,0.0,5e-07,6e-5,-2.2004857
3.1e-05,-2.2004857,1.0,0.0,5e-07,6e-5,-2.0992374
3.15e-05,-2.0992374,1.0,0.0,5e-07,6e-5,-1.9988294
3.2e-05,-1.9988294,1.0,0.0,5e-07,6e-5,-1.8992547
3.25e-05,-1.8992547,1.0,0.0,5e-07,6e-5,-1.8005062
3.3e-05,-1.8005062,1.0,0.0,5e-07,6e-5,-1.7025772
3.35e-05,-1.7025772,1.0,0.0,5e-07,6e-5,-1.605461
3.4e-05,-1.605461,1.0,0.0,5e-07,6e-5,-1.5091506
3.45e-05,-1.5091506,1.0,0.0,5e-07,6e-5,-1.4136395
3.5e-05,-1.4136395,1.0,0.0,5e-07,6e-5,-1.3189211
3.55e-05,-1.3189211,1.0,0.0,5e-07,6e-5,-1.2249887
3.6e-05,-1.2249887,1.0,0.0,5e-07,6e-5,-1.1318358
3.65e-05,-1.1318358,1.0,0.0,5e-07,6e-5,-1.039456
3.7e-05,-1.039456,1.0,0.0,5e-07,6e-5,-0.9478428
3.75e-05,-0.9478428,1.0,0.0,5e-07,6e-5,-0.8569898
3.8e-05,-0.8569898,1.0,0.0,5e-07,6e-5,-0.7668908
3.85e-05,-0.7668908,1.0,0.0,5e-07,6e-5,-0.6775396
3.9e-05,-0.6775396,1.0,0.0,5e-07,6e-5,-0.5889298
3.95e-05,-0.5889298,1.0,0.0,5e-07,6e-5,-0.50105536
4e-05,-0.50105536,1.0,0.0,5e-07,6e-5,-0.41391018
4.05e-05,-0.41391018,1.0,0.0,5e-07,6e-5,-0.32748818
4.1e-05,-0.32748818,1.0,0.0,5e-07,6e-5,-0.24178338
4.15e-05,-0.24178338,1.0,0.0,5e-07,6e-5,-0.15678981
4.2e-05,-0.15678981,1.0,0.0,5e-07,6e-5,-0.072501585
4.25e-05,-0.072501585,1.0,0.0,5e-07,6e-5,0.011087159
4.3e-05,0.011087159,1.0,0.0,5e-07,6e-5,0.09398222
4.35e-05,0.09398222,1.0,0.0,5e-07,6e-5,0.17618936
4.4e-05,0.17618936,1.0,0.0,5e-07,6e-5,0.2577143
4.45e-05,0.2577143,1.0,0.0,5e-07,6e-5,0.33856267
4.5e-05,0.33856267,1.0,0.0,5e-07,6e-5,0.41874012
4.55e-05,0.41874012,1.0,0.0,5e-07,6e-5,0.49825218
4.6e-05,0.49825218,1.0,0.0,5e-07,6e-5,0.5771044
4.65e-05,0.5771044,1.0,0.0,5e-07,6e-5,0.6553023
4.7e-05,0.6553023,1.0,0.0,5e-07,6e-5,0.73285115
4.75e-05,0.73285115,1.0,0.0,5e-07,6e-5,0.8097565
4.8e-05,0.8097565,1.0,0.0,5e-07,6e-5,0.8860237
4.85e-05,0.8860237,1.0,0.0,5e-07,6e-5,0.9616579
4.9e-05,0.9616579,1.0,0.0,5e-07,6e-5,1.0366645
4.95e-05,1.0366645,1.0,0.0,5e-07,6e-5,1.1110486
5e-05,1.1110486,1.0,0.0,5e-07,6e-5,1.1848154
5.05e-05,1.1848154,1.0,0.0,5e-07,6e-5,1.25797
5.1e-05,1.25797,1.0,0.0,5e-07,6e-5,1.3305175
5.15e-05,1.3305175,1.0,0.0,5e-07,6e-5,1.4024631
5.2e-05,1.4024631,1.0,0.0,5e-07,6e-5,1.4738115
5.25e-05,1.4738115,1.0,0.0,5e-07,6e-5,1.5445678
5.3e-05,1.5445678,1.0,0.0,5e-07,6e-5,1.614737
5.35e-05,1.614737,1.0,0.0,5e-07,6e-5,1.6843238
5.4e-05,1.6843238,1.0,0.0,5e-07,6e-5,1.7533332
5.45e-05,1.7533332,1.0,0.0,5e-07,6e-5,1.8217698
5.5e-05,1.8217698,1.0,0.0,5e-07,6e-5,1.8896387
5.55e-05,1.8896387,1.0,0.0,5e-07,6e-5,1.9569441
5.6e-05,1.9569441,1.0,0.0,5e-07,6e-5,2.0236912
