time,Ia,Ib,Ic,topA,botA,topB,botB,topC,botC,La_value,Lb_value,Lc_value,Lag_value,Lbg_value,Lcg_value,Ca_value,Cb_value,Cc_value,time_step,Ia_next_value,Ib_next_value,Ic_next_value
0.0,0.0,0.0,0.0,0,0,0,0,0,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.0,0.0,0.0
1e-05,0.0,0.0,0.0,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.019867495,-0.03973499,0.019867495
2e-05,0.019867495,-0.03973499,0.019867495,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.38797355,-0.83554953,0.44757602
3e-05,0.38797355,-0.83554953,0.44757602,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.6098449,-2.4598806,1.8500358
4e-05,0.6098449,-2.4598806,1.8500358,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.4890994,-4.1533523,3.6642528
5e-05,0.4890994,-4.1533523,3.6642528,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.28788605,-5.412711,5.124825
6e-05,0.28788605,-5.412711,5.124825,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.04299578,-6.1082344,6.0652385
7e-05,0.04299578,-6.1082344,6.0652385,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.5472005,-6.581326,7.128526
8e-05,-0.5472005,-6.581326,7.128526,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.9660278,-7.4206953,8.386723
9e-05,-0.9660278,-7.4206953,8.386723,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.998655,-8.144821,9.1434765
0.0001,-0.998655,-8.144821,9.1434765,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.89391,-8.118479,9.012389
0.00011,-0.89391,-8.118479,9.012389,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.6668073,-7.3683553,8.035162
0.00012,-0.6668073,-7.3683553,8.035162,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.015856318,-6.779626,6.7637696
0.00013,0.015856318,-6.779626,6.7637696,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.5759887,-6.5147448,5.938756
0.00014,0.5759887,-6.5147448,5.938756,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.73261774,-6.0506525,5.3180346
0.00015,0.73261774,-6.0506525,5.3180346,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.7615414,-5.068066,4.3065248
0.00016,0.7615414,-5.068066,4.3065248,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.6743361,-3.6667857,2.9924495
0.00017,0.6743361,-3.6667857,2.9924495,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.12476168,-2.4214842,2.2967224
0.00018,0.12476168,-2.4214842,2.2967224,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.32980472,-2.0349948,2.3647995
0.00019,-0.32980472,-2.0349948,2.3647995,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.46042663,-2.1187873,2.5792139
0.0002,-0.46042663,-2.1187873,2.5792139,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.5028329,-2.0753367,2.5781696
0.00021,-0.5028329,-2.0753367,2.5781696,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.44609708,-1.9249241,2.3710213
0.00022,-0.44609708,-1.9249241,2.3710213,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.07435029,-2.4942665,2.4199164
0.00023,0.07435029,-2.4942665,2.4199164,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.4847641,-3.7610214,3.2762573
0.00024,0.4847641,-3.7610214,3.2762573,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.5581409,-4.9858537,4.427713
0.00025,0.5581409,-4.9858537,4.427713,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.5361064,-5.714394,5.1782875
0.00026,0.5361064,-5.714394,5.1782875,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.43825254,-5.8718286,5.4335756
0.00027,0.43825254,-5.8718286,5.4335756,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.03681113,-5.859773,5.8965845
0.00028,-0.03681113,-5.859773,5.8965845,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.3428929,-6.3391533,6.682046
0.00029,-0.3428929,-6.3391533,6.682046,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.2953208,-6.880322,7.175643
0.0003,-0.2953208,-6.880322,7.175643,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,-0.1770286,-6.815113,6.9921417
0.00031,-0.1770286,-6.815113,6.9921417,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.0020293056,-6.1762886,6.174259
0.00032,0.0020293056,-6.1762886,6.174259,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,0.6064687,-5.8631926,5.256724
0.00033,0.6064687,-5.8631926,5.256724,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-05,1.0998795,-5.971077,4.8711977
