time,Ia,Ib,Ic,topA,botA,topB,botB,topC,botC,La_value,Lb_value,Lc_value,Lag_value,Lbg_value,Lcg_value,Ca_value,Cb_value,Cc_value,time_step,Ia_next_value,Ib_next_value,Ic_next_value
0.0,0.0,0.0,0.0,0,0,0,0,0,0,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,0.0,0.0,0.0
7e-06,0.0,0.0,0.0,1,0,1,0,1,0,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,0.0,0.0,0.0
1.4e-05,0.0,0.0,0.0,1,0,1,0,1,0,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,0.093170345,-0.18634069,0.093170345
2.1e-05,0.093170345,-0.18634069,0.093170345,1,0,0,1,1,0,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,0.48755673,-1.0233713,0.5358146
2.8e-05,0.48755673,-1.0233713,0.5358146,0,1,0,1,1,0,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,0.68130624,-2.2487392,1.5674331
3.5e-05,0.68130624,-2.2487392,1.5674331,0,1,0,1,1,0,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,0.6011538,-3.6009204,2.9997666
4.2e-05,0.6011538,-3.6009204,2.9997666,0,1,0,1,0,1,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,0.4838386,-4.7816157,4.297777
4.9e-05,0.4838386,-4.7816157,4.297777,0,1,0,1,0,1,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,0.34329927,-5.7256956,5.382396
5.6e-05,0.34329927,-5.7256956,5.382396,0,1,0,1,0,1,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,0.18645546,-6.387868,6.201412
6.3e-05,0.18645546,-6.387868,6.201412,0,1,0,1,0,1,1e-06,1e-06,1e-06,1e-05,1e-05,1e-05,0.0001,0.0001,0.0001,7e-06,-0.03930835,-6.797025,6.8363333
