time,Ia,Ib,Ic,topA,botA,topB,botB,topC,botC,La_value,Lb_value,Lc_value,Lag_value,Lbg_value,Lcg_value,Ca_value,Cb_value,Cc_value,time_step,Ia_next_value,Ib_next_value,Ic_next_value
0.0,0.0,0.0,0.0,0,0,0,0,0,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0
1e-05,0.0,0.0,0.0,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.06030884,-0.12061768,0.06030884
2e-05,0.06030884,-0.12061768,0.06030884,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.5821838,-1.3452941,0.7631103
3e-05,0.5821838,-1.3452941,0.7631103,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.6295613,-3.2278457,2.5982842
4e-05,0.6295613,-3.2278457,2.5982842,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.46503264,-4.9321656,4.467133
5e-05,0.46503264,-4.9321656,4.467133,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.25519067,-6.140953,5.885762
6e-05,0.25519067,-6.140953,5.885762,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,-0.03930835,-6.797025,6.8363333
7e-05,-0.03930835,-6.797025,6.8363333,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,-0.7964377,-7.426256,8.222693
8e-05,-0.7964377,-7.426256,8.222693,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,-1.0568454,-8.528706,9.585551
9e-05,-1.0568454,-8.528706,9.585551,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,-1.0621346,-9.081052,10.143187
0.0001,-1.0621346,-9.081052,10.143187,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,-0.9622781,-8.732226,9.694505
0.00011,-0.9622781,-8.732226,9.694505,1,0,1,0,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,-0.6744441,-7.7069974,8.381441
0.00012,-0.6744441,-7.7069974,8.381441,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.18567748,-7.117914,6.9322367
0.00013,0.18567748,-7.117914,6.9322367,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.5869666,-6.645341,6.0583744
0.00014,0.5869666,-6.645341,6.0583744,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.7294271,-5.7161016,4.9866743
0.00015,0.7294271,-5.7161016,4.9866743,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.79907566,-4.2251477,3.4260721
0.00016,0.79907566,-4.2251477,3.4260721,0,1,0,1,0,1,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.69616526,-2.4156456,1.7194804
0.00017,0.69616526,-2.4156456,1.7194804,0,1,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,0.018016627,-1.0626053,1.0445886
0.00018,0.018016627,-1.0626053,1.0445886,1,0,0,1,1,0,1e-06,1e-06,1e-06,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,-0.24436155,-0.821199,1.0655606
