csv_path,L,C,Lg,Vin,Vs1,Time step,MAE,MARE,MAXRE
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-04_V=3e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.001,0.0001,300.0,100.0,5e-07,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-04_V=3e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.001,0.0001,300.0,200.0,2e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-04_V=3e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.001,0.0001,300.0,200.0,5e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-04_V=3e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.001,0.0001,300.0,200.0,5e-07,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-04_V=3e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.001,0.0001,300.0,300.0,2e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-04_V=3e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.001,0.0001,300.0,300.0,5e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-04_V=3e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.001,0.0001,300.0,300.0,5e-07,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-04_V=3e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.001,0.0001,300.0,400.0,2e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-04_V=3e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.001,0.0001,300.0,400.0,5e-06,,,
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,100.0,2e-06,8.940935770670572,0.0056592473,41.78961
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,100.0,5e-06,22.48276710510254,0.0111596323549747,7.526620388031006
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.001,0.001,100.0,100.0,5e-07,3.1487679481506348,0.001520600519143,12.011390686035156
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,200.0,2e-06,8.984543800354004,0.0056834057904779,42.32818603515625
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,200.0,5e-06,22.503092447916668,0.0111512402072548,7.564944267272949
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.001,0.001,100.0,200.0,5e-07,3.257293224334717,0.0016211541369557,12.550395011901855
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,300.0,2e-06,9.0318021774292,0.0057107140310108,42.86719131469727
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,300.0,5e-06,22.524492899576824,0.0111450692638754,7.603389739990234
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.001,0.001,100.0,300.0,5e-07,3.3739399909973145,0.0017353988951072,13.089397430419922
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,400.0,2e-06,9.082337697347006,0.005739277228713,43.40533447265625
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,400.0,5e-06,22.54730224609375,0.0111406268551945,7.641866683959961
