csv_path,L,C,Lg,Vin,Vs1,Time step,MAE,MARE,MAXRE
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=3e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.0001,0.001,300.0,300.0,5e-07,3.06384801864624,0.001451791729778,11.559781074523926
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=3e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.0001,0.001,300.0,400.0,2e-06,8.947720845540365,0.0056629255414009,41.87614440917969
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=3e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.0001,0.001,300.0,400.0,5e-06,22.485976537068684,0.0111582428216934,7.53281307220459
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=3e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.0001,0.001,300.0,400.0,5e-07,3.165642340977987,0.0015346026048064,12.09835433959961
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=3e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.0001,0.001,300.0,500.0,2e-06,8.991873741149902,0.0056876577436923,42.41428756713867
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=3e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.0001,0.001,300.0,500.0,5e-06,22.506409962972004,0.0111499764025211,7.571228981018066
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=3e+02_Vs1=5e+02_time_step_5e-07.csv,0.001,0.0001,0.001,300.0,500.0,5e-07,3.275495847066244,0.0016391644021496,12.637357711791992
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.0001,0.001,400.0,100.0,2e-06,8.850425084431967,0.0056108082644641,40.48515319824219
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.0001,0.001,400.0,100.0,5e-06,22.43880271911621,0.0111860195174813,7.433754444122314
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.0001,0.001,400.0,100.0,5e-07,2.9198665618896484,0.0013781652087345,10.70779514312744
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.0001,0.001,400.0,200.0,2e-06,8.885246912638346,0.005629604216665,41.02372741699219
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.0001,0.001,400.0,200.0,5e-06,22.455922444661457,0.0111744245514273,7.472139358520508
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.0001,0.001,400.0,200.0,5e-07,3.008395910263061,0.0014119945699349,11.245505332946776
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.0001,0.001,400.0,300.0,2e-06,8.923690478006998,0.005650021135807,41.5627326965332
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.0001,0.001,400.0,300.0,5e-06,22.47454388936361,0.0111634647473692,7.510555267333984
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.0001,0.001,400.0,300.0,5e-07,3.1054724852244058,0.0014850158477202,11.784939765930176
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.0001,0.001,400.0,400.0,2e-06,8.96579647064209,0.0056727868504822,42.10130310058594
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.0001,0.001,400.0,400.0,5e-06,22.494420369466145,0.011154699139297,7.5489397048950195
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.0001,0.001,400.0,400.0,5e-07,3.2106284300486245,0.001575032598339,12.324804306030272
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.0001,0.001,400.0,500.0,2e-06,9.01149845123291,0.0056990198791027,42.63987350463867
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.0001,0.001,400.0,500.0,5e-06,22.515363057454422,0.0111473808065056,7.587263107299805
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=4e+02_Vs1=5e+02_time_step_5e-07.csv,0.001,0.0001,0.001,400.0,500.0,5e-07,3.3239104747772217,0.0016868780367076,12.862947463989258
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.0001,0.001,500.0,100.0,2e-06,8.864590009053549,0.0056185438297688,40.71031188964844
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.0001,0.001,500.0,100.0,5e-06,22.445784250895183,0.0111810909584164,7.449789524078369
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.0001,0.001,500.0,100.0,5e-07,2.9558702309926352,0.0013909487752243,10.932952880859377
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.0001,0.001,500.0,200.0,2e-06,8.900912602742514,0.0056377835571765,41.24931716918945
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.0001,0.001,500.0,200.0,5e-06,22.463542302449543,0.011169821023941,7.488204479217529
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.0001,0.001,500.0,200.0,5e-07,3.04800550142924,0.0014393363380804,11.472387313842772
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.0001,0.001,500.0,300.0,2e-06,8.940834999084473,0.0056591592729091,41.78745651245117
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.0001,0.001,500.0,300.0,5e-06,22.48272450764974,0.0111596472561359,7.526620388031006
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.0001,0.001,500.0,300.0,5e-07,3.1484949588775635,0.0015203249640762,12.011390686035156
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.0001,0.001,500.0,400.0,2e-06,8.984425862630209,0.0056833117268979,42.32646179199219
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.0001,0.001,500.0,400.0,5e-06,22.50302251180013,0.0111513053998351,7.564974784851074
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.0001,0.001,500.0,400.0,5e-07,3.257018168767293,0.0016208492452278,12.549532890319824
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.0001,0.001,500.0,500.0,2e-06,9.031660397847494,0.0057106181047856,42.86589813232422
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.0001,0.001,500.0,500.0,5e-06,22.524442036946613,0.0111450953409075,7.603359222412109
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-03_V=5e+02_Vs1=5e+02_time_step_5e-07.csv,0.001,0.0001,0.001,500.0,500.0,5e-07,3.373650550842285,0.0017350278794765,13.089397430419922
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,100.0,100.0,2e-06,8.907269795735678,0.005641168449074,41.33843231201172
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,100.0,100.0,5e-06,22.46659215291341,0.0111679881811141,7.494582176208496
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,100.0,100.0,5e-07,3.0641042391459146,0.0014520558761432,11.561503410339355
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,100.0,200.0,2e-06,8.947811762491861,0.0056629828177392,41.87700271606445
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,100.0,200.0,5e-06,22.486040751139324,0.0111581953242421,7.532905578613281
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,100.0,200.0,5e-07,3.1659249464670816,0.0015349677996709,12.100507736206056
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,100.0,300.0,2e-06,8.992029507954916,0.0056877192109823,42.41514587402344
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,100.0,300.0,5e-06,22.506479263305664,0.0111499428749084,7.571320533752441
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,100.0,300.0,5e-07,3.275804042816162,0.0016395974671468,12.638218879699709
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,100.0,400.0,2e-06,9.039873441060385,0.0057152919471263,42.95501708984375
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,100.0,400.0,5e-06,22.52815055847168,0.0111442664638161,7.609705924987793
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,100.0,400.0,5e-07,3.393734296162924,0.0017543653957545,13.17722225189209
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,100.0,500.0,2e-06,9.090872446695965,0.0057443249970674,43.49488067626953
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,100.0,500.0,5e-06,22.55119132995605,0.0111399563029408,7.648059844970703
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=1e+02_Vs1=5e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,100.0,500.0,5e-07,3.518958330154419,0.0018871811917051,13.71708869934082
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,200.0,100.0,2e-06,8.923805554707846,0.0056500639766454,41.56359100341797
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,200.0,100.0,5e-06,22.474618911743164,0.0111634219065308,7.510616302490234
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,200.0,100.0,5e-07,3.1057517528533936,0.0014852849999442,11.786662101745604
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,200.0,200.0,2e-06,8.965885162353516,0.0056728771887719,42.10302734375
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,200.0,200.0,5e-06,22.4944699605306,0.0111546711996197,7.549062728881836
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,200.0,200.0,5e-07,3.210901419321696,0.0015753203770145,12.325666427612305
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,200.0,300.0,2e-06,9.011615117390951,0.0056990887969732,42.64073944091797
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,200.0,300.0,5e-06,22.515378952026367,0.0111473621800541,7.587386131286621
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,200.0,300.0,5e-07,3.324221054712931,0.0016872734995558,12.865530967712402
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,200.0,400.0,2e-06,9.060853958129885,0.0057271588593721,43.18060302734375
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,200.0,400.0,5e-06,22.53759511311849,0.0111424028873443,7.625770568847656
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,200.0,400.0,5e-07,3.4453392823537192,0.0018074571853503,13.40367317199707
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,200.0,500.0,2e-06,9.113156000773111,0.0057574026286602,43.72046661376953
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,200.0,500.0,5e-06,22.56132634480794,0.0111382948234677,7.6640944480896
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=2e+02_Vs1=5e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,200.0,500.0,5e-07,3.573314666748047,0.0019452174892649,13.94224739074707
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,300.0,100.0,2e-06,8.94097900390625,0.005659244954586,41.78961181640625
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,300.0,100.0,5e-06,22.482762654622395,0.0111596258357167,7.526742935180664
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,300.0,100.0,5e-07,3.1487553119659424,0.0015206182142719,12.012251853942873
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,300.0,200.0,2e-06,8.984581311543783,0.005683425348252,42.329044342041016
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,300.0,200.0,5e-06,22.503058751424152,0.0111512653529644,7.565096855163574
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,300.0,200.0,5e-07,3.257314920425415,0.0016211859183385,12.551255226135254
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,300.0,300.0,2e-06,9.031811396280924,0.0057106888853013,42.86719131469727
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,300.0,300.0,5e-06,22.524481455485027,0.0111450655385851,7.603420257568359
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,300.0,300.0,5e-07,3.373961130777994,0.0017354743322357,13.091119766235352
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,300.0,400.0,2e-06,9.082382520039875,0.0057393084280192,43.406192779541016
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,300.0,400.0,5e-06,22.547348658243816,0.0111406100913882,7.641775131225586
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,300.0,400.0,5e-07,3.4980786641438804,0.0018647644901648,13.629262924194336
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,300.0,500.0,2e-06,9.135989824930826,0.0057707629166543,43.94519805908203
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,300.0,500.0,5e-06,22.571635564168293,0.0111368084326386,7.680159568786621
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=3e+02_Vs1=5e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,300.0,500.0,5e-07,3.628781716028849,0.0020038101356476,14.16740608215332
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,400.0,100.0,2e-06,8.958771705627441,0.0056689004413783,42.014766693115234
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,400.0,100.0,5e-06,22.49115244547526,0.0111560197547078,7.542808532714844
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,400.0,100.0,5e-07,3.1932228406270347,0.001558655872941,12.23870086669922
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,400.0,200.0,2e-06,9.003925005594889,0.0056946869008243,42.55463409423828
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,400.0,200.0,5e-06,22.511879603068035,0.0111483363434672,7.581131935119629
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,400.0,200.0,5e-07,3.3051576614379883,0.001668554265052,12.776844024658203
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,400.0,300.0,2e-06,9.052610397338867,0.005722492467612,43.09235000610352
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,400.0,300.0,5e-06,22.533885955810547,0.0111431153491139,7.619455337524414
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,400.0,300.0,5e-07,3.4250752131144204,0.0017851744778454,13.314987182617188
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,400.0,400.0,2e-06,9.104419072469076,0.0057522170245647,43.63092041015625
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,400.0,400.0,5e-06,22.55733807881673,0.0111389262601733,7.657901763916016
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,400.0,400.0,5e-07,3.551972309748332,0.0019224318675696,13.854421615600586
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,400.0,500.0,2e-06,9.15941079457601,0.005784482229501,44.17164993286133
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,400.0,500.0,5e-06,22.582316080729168,0.011135458946228,7.696286201477051
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=4e+02_Vs1=5e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,400.0,500.0,5e-07,3.6853605111440015,0.0020628229249268,14.39299488067627
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,500.0,100.0,2e-06,8.977222124735514,0.0056791095994412,42.240360260009766
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,500.0,100.0,5e-06,22.499684651692707,0.011152590624988,7.558812141418457
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,500.0,100.0,5e-07,3.2390755812327066,0.0016030127881094,12.46342945098877
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,500.0,200.0,2e-06,9.02391529083252,0.0057061575353145,42.77936172485352
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,500.0,200.0,5e-06,22.52094841003418,0.0111459121108055,7.597196578979492
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,500.0,200.0,5e-07,3.354426304499308,0.0017165984027087,13.001572608947754
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,500.0,300.0,2e-06,9.07390562693278,0.0057345163077116,43.31922912597656
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,500.0,300.0,5e-06,22.54352569580078,0.0111413160338997,7.635612487792969
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,500.0,300.0,5e-07,3.4773611227671304,0.0018423851579427,13.541438102722168
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,500.0,400.0,2e-06,9.127050399780272,0.005765575915575,43.85909271240234
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,500.0,400.0,5e-06,22.567603429158527,0.01113738771528,7.673935890197754
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,500.0,400.0,5e-07,3.6070382595062256,0.0019809647928923,14.079580307006836
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.0001,0.0001,500.0,500.0,2e-06,9.183353424072266,0.0057985126040875,44.39508438110352
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.0001,0.0001,500.0,500.0,5e-06,22.59321975708008,0.0111342864111065,7.7123517990112305
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-04_V=5e+02_Vs1=5e+02_time_step_5e-07.csv,0.001,0.0001,0.0001,500.0,500.0,5e-07,3.7430495421091714,0.002122412668541,14.61858367919922
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.0001,1e-05,100.0,100.0,2e-06,8.91844367980957,0.0056471866555511,41.49126434326172
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.0001,1e-05,100.0,100.0,5e-06,22.47196578979492,0.0111648691818118,7.505404472351074
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.0001,1e-05,100.0,100.0,5e-07,3.092192014058431,0.0014743852661922,11.714766502380373
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.0001,1e-05,100.0,200.0,2e-06,8.960024197896322,0.0056695588864386,42.02983474731445
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.0001,1e-05,100.0,200.0,5e-06,22.49172910054525,0.0111557664349675,7.543788909912109
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.0001,1e-05,100.0,200.0,5e-07,3.196287473042806,0.0015613831346854,12.25247859954834
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.0001,1e-05,100.0,300.0,2e-06,9.005244255065918,0.0056954473257064,42.5697021484375
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.0001,1e-05,100.0,300.0,5e-06,22.51250012715657,0.0111481649801135,7.582235336303711
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.0001,1e-05,100.0,300.0,5e-07,3.308504025141398,0.0016718609258532,12.792343139648438
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.0001,1e-05,100.0,400.0,2e-06,9.054045041402182,0.0057233250699937,43.1082763671875
new_3ph_inv_L=1e-03_C=1e-04_Lg=1e-05_V=1e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.0001,1e-05,100.0,400.0,5e-06,22.53451855977376,0.0111430017277598,7.620712280273437
