"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test the system response for disturbance rejection with different R and C values.
    ","14345","test_rectifier[0.001-0.0001-0.0001]","","Tue May 27 16:43:34 CEST 2025","passed","Tue May 27 16:43:49 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","9341","test_rectifier[0.0001-0.001-0.001]","","Tue May 27 16:17:21 CEST 2025","passed","Tue May 27 16:17:30 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","9338","test_rectifier[0.001-0.0001-0.01]","","Tue May 27 16:21:22 CEST 2025","passed","Tue May 27 16:21:31 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14342","test_rectifier[0.001-1e-05-1e-05]","","Tue May 27 16:46:30 CEST 2025","passed","Tue May 27 16:46:44 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","13341","test_rectifier[0.0001-0.0001-0.01]","","Tue May 27 16:36:42 CEST 2025","passed","Tue May 27 16:36:55 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14345","test_rectifier[0.001-1e-06-0.0001]","","Tue May 27 16:45:45 CEST 2025","passed","Tue May 27 16:46:00 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","11335","test_rectifier[1e-06-1e-06-1e-06]","","Tue May 27 16:09:16 CEST 2025","passed","Tue May 27 16:09:27 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","9334","test_rectifier[1e-05-0.001-0.001]","","Tue May 27 16:17:58 CEST 2025","passed","Tue May 27 16:18:08 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","15352","test_rectifier[1e-06-1e-06-0.001]","","Tue May 27 16:56:43 CEST 2025","passed","Tue May 27 16:56:59 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14332","test_rectifier[1e-06-1e-06-0.0001]","","Tue May 27 17:03:08 CEST 2025","passed","Tue May 27 17:03:22 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14351","test_rectifier[1e-06-0.01-0.01]","","Tue May 27 16:24:49 CEST 2025","passed","Tue May 27 16:25:04 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14350","test_rectifier[0.0001-0.001-1e-05]","","Tue May 27 16:49:30 CEST 2025","passed","Tue May 27 16:49:44 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14346","test_rectifier[1e-06-0.001-1e-06]","","Tue May 27 16:53:17 CEST 2025","passed","Tue May 27 16:53:31 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14347","test_rectifier[1e-06-1e-05-0.01]","","Tue May 27 16:40:25 CEST 2025","passed","Tue May 27 16:40:39 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","13341","test_rectifier[1e-06-0.01-1e-06]","","Tue May 27 16:34:05 CEST 2025","passed","Tue May 27 16:34:18 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","9336","test_rectifier[0.0001-0.0001-0.001]","","Tue May 27 16:15:55 CEST 2025","passed","Tue May 27 16:16:04 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14346","test_rectifier[1e-05-0.001-0.0001]","","Tue May 27 16:50:29 CEST 2025","passed","Tue May 27 16:50:44 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14368","test_rectifier[0.001-1e-06-0.001]","","Tue May 27 16:42:52 CEST 2025","passed","Tue May 27 16:43:07 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14341","test_rectifier[0.001-0.01-0.001]","","Tue May 27 16:25:19 CEST 2025","passed","Tue May 27 16:25:33 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14349","test_rectifier[1e-05-1e-06-0.01]","","Tue May 27 16:39:56 CEST 2025","passed","Tue May 27 16:40:11 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14348","test_rectifier[1e-05-0.01-0.001]","","Tue May 27 16:28:39 CEST 2025","passed","Tue May 27 16:28:53 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","9339","test_rectifier[0.0001-1e-06-0.001]","","Tue May 27 16:16:58 CEST 2025","passed","Tue May 27 16:17:07 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14349","test_rectifier[0.001-0.0001-1e-05]","","Tue May 27 16:44:17 CEST 2025","passed","Tue May 27 16:44:31 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14349","test_rectifier[1e-05-0.01-0.01]","","Tue May 27 16:24:20 CEST 2025","passed","Tue May 27 16:24:34 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","15341","test_rectifier[1e-05-1e-05-1e-05]","","Tue May 27 16:10:46 CEST 2025","passed","Tue May 27 16:11:02 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14345","test_rectifier[0.0001-0.01-0.001]","","Tue May 27 16:27:55 CEST 2025","passed","Tue May 27 16:28:10 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","10352","test_rectifier[0.0001-0.0001-1e-05]","","Tue May 27 16:15:04 CEST 2025","passed","Tue May 27 16:15:14 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","15352","test_rectifier[1e-06-1e-05-1e-05]","","Tue May 27 16:10:16 CEST 2025","passed","Tue May 27 16:10:31 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","13343","test_rectifier[0.0001-0.01-1e-06]","","Tue May 27 16:30:59 CEST 2025","passed","Tue May 27 16:31:13 CEST 2025","","genResScript","",""
